word,meaning,sort,title,phonetic,english_meaning,example
motivate,v.激发，驱使,5,Chapter 5 学校教育,/ˈməʊtɪveɪt/,To make someone want to do something or work hard.,"For example, a teacher might give a prize to students who study hard, which helps them want to learn more."
stimulate,v.刺激；激励,5,Chapter 5 学校教育,/ˈstɪmjuleɪt/,"To make something start or become more active, or to encourage someone to do something.","For example, eating spicy food can make your mouth feel hot and awake."
spur,v.鞭策，刺激n.马刺；刺激,5,Chapter 5 学校教育,/spɜː(r)/,To push someone to do something by giving them a reason to act.,"For example, getting good grades can push a student to study harder."
impetus,n.推动，促进；动量；惯性,5,Chapter 5 学校教育,/ˈɪmpɪtəs/,A force or reason that makes something start happening or move forward.,"For example, the teacher's encouragement gave the students the push they needed to finish their project quickly."
indulge,v.迁就，放任；沉湎；让……享受一下,5,Chapter 5 学校教育,/ɪnˈdʌldʒ/,"To let someone do something they want, even if it's not the best idea, or to spend time doing something you really enjoy.","For example, your mom might let you eat ice cream for dinner if you ask nicely."
spoil,v.宠坏，溺爱；破坏，糟蹋,5,Chapter 5 学校教育,/spɔɪl/,"To spoil something means to make it bad or not work properly. It can also mean to treat someone too kindly, so they become difficult to handle.","For example, if you give a child too much candy every day, you might spoil them and they will not listen to you."
abuse,v. 滥用；虐待 n. 滥用；虐待,5,Chapter 5 学校教育,/əˈbjuːs/,"To use something in a wrong or harmful way, or to treat someone badly.","For example, using a toy in a way that breaks it is a kind of abuse."
intelligent,adj.聪明的，有才智的,5,Chapter 5 学校教育,/ɪnˈtelɪdʒənt/,Someone who is smart and can learn things quickly is considered this.,"For example, a person who solves hard math problems easily is this."
clever,adj.聪明的；精明的,5,Chapter 5 学校教育,/ˈklevə(r)/,Someone who is clever can think quickly and understand things easily.,"For example, a clever student can solve hard math problems fast."
smart,adj.聪明的；智能的,5,Chapter 5 学校教育,/smɑːt/,Something or someone that is quick to learn and understand things.,"For example, a smart student can solve math problems quickly."
all-round,adj.有多方面才能的，全面的 (=all-around) ,5,Chapter 5 学校教育,/ˌɔːl ˈraʊnd/,Something that is good in many different ways or has many skills.,"For example, a person who is good at sports, schoolwork, and music is considered all-round."
genius,n.天才人物；天赋,5,Chapter 5 学校教育,/ˈdʒiːniəs/,A person who is very smart and can understand or create things easily.,"For example, a person who solves hard math problems quickly might be called a genius."
elite,n.精英人物；精华；上层人士,5,Chapter 5 学校教育,/eɪˈliːt; ɪˈliːt/,A group of people who are very good at something or have a lot of power and money.,"For example, the best athletes in the world are considered the elite of sports."
idiot,n.白痴，傻瓜,5,Chapter 5 学校教育,/ˈɪdiət/,A person who does not think carefully and makes silly mistakes.,"For example, someone who forgets to wear shoes when going outside is acting like a person who doesn't use common sense."
wisdom,n.智慧；学问,5,Chapter 5 学校教育,/ˈwɪzdəm/,Wisdom is when someone knows how to make good choices and understand things deeply.,"For example, a wise person knows how to treat others fairly and solve problems in the right way."
wit,n.风趣的人；机智，风趣；智慧,5,Chapter 5 学校教育,/wɪt/,A person who is smart and says funny or clever things.,"For example, the comedian has a lot of clever ideas and makes people laugh."
aptitude,n.天生的才能，资质,5,Chapter 5 学校教育,/ˈæptɪtjuːd/,It is a natural ability or talent that someone has for doing something well.,"For example, some people are good at math without needing to study much. That shows they have a talent for it."
capable,adj.有能力的，有才能的,5,Chapter 5 学校教育,/ˈkeɪpəb(ə)l/,Something or someone that can do something well because they have the skills or ability.,"For example, she is capable of running fast because she practices every day."
excellent,adj.优秀的，杰岀的,5,Chapter 5 学校教育,/ˈeksələnt/,Something that is very good and better than most others.,"For example, if you get a high score on a test, your teacher might say your work is excellent."
outstanding,adj.突出的，杰出的,5,Chapter 5 学校教育,/aʊtˈstændɪŋ/,Something that is very good or better than others.,"For example, she got an award because she did very well in the competition."
brilliant,adj.光辉的；聪颖的；(光线等)明亮的；非常好的,5,Chapter 5 学校教育,/ˈbrɪliənt/,Something that is very bright or someone who is very smart.,"For example, the sun is a brilliant light in the sky."
skill,n. 技巧，技能,5,Chapter 5 学校教育,/skɪl/,A skill is something you can do well because you have practiced it a lot.,"For example, playing the guitar is a skill that takes time to learn."
graduate,n.大学毕业生；［美］毕业生  v. 大学毕业；［美］中学毕业,5,Chapter 5 学校教育,/ˈɡrædʒuət; ˈɡrædʒuˌeɪt/,"A person who finishes school, especially college or university, is called a graduate.","For example, someone who finishes high school is called a graduate in the US."
campus,n. (大专院校的｝校园,5,Chapter 5 学校教育,/ˈkæmpəs/,"It is the area where a school or university is located, including all the buildings and open spaces.","For example, students go to the main building on the area where they learn and have classes."
dining hall,n. 食堂,5,Chapter 5 学校教育,/ˈdaɪnɪŋ hɔːl/,"A place where people eat meals together, usually in a school or large building.","For example, students go to the big room at their school to have lunch with their friends."
prestige,n.威望，声望,5,Chapter 5 学校教育,/preˈstiːʒ/,It is the respect and admiration that someone or something gets because they are very good or famous.,"For example, going to a top university can give someone a lot of respect from others."
reputation,n.名誉，声誉,5,Chapter 5 学校教育,/ˌrepjuˈteɪʃ(ə)n/,It is the way people think about someone or something based on what they have done before.,"For example, a doctor has a good reputation because people believe they are skilled and helpful."
eminent,adj.著名的；杰出的,5,Chapter 5 学校教育,/ˈemɪnənt/,Something or someone that is very well known for being very good at what they do.,"For example, Albert Einstein was a famous scientist who made important discoveries."
notorious,adj.声名狼藉的,5,Chapter 5 学校教育,/nəʊˈtɔːriəs/,Something or someone that is known for doing bad things and has a bad reputation.,"For example, a thief who is always caught might be called notorious."
esteem,v.尊重，尊敬,5,Chapter 5 学校教育,/ɪˈstiːm/,To have a high opinion of someone and treat them with respect.,"For example, people often show admiration for their teachers because they know a lot and help them learn."
respect,n.尊敬，敬重 v.尊敬，敬重,5,Chapter 5 学校教育,/rɪˈspekt/,To show kindness and good feelings for someone because they are important or do good things.,"For example, you should be kind to your teachers because they help you learn."
diligent,adj.勤勉的，勤奋的,5,Chapter 5 学校教育,/ˈdɪlɪdʒənt/,Someone who works hard and doesn't give up easily is described as diligent. They always try their best to do things well.,"For example, a student who studies every day and finishes all their homework is considered diligent."
painstaking,adj.极其仔细的，辛苦的,5,Chapter 5 学校教育,/ˈpeɪnzteɪkɪŋ/,"Something that is done with a lot of care and effort, often taking a long time to finish.","For example, she spent hours drawing a picture so every detail was perfect."
approach,n.方法v.接近,5,Chapter 5 学校教育,/əˈprəʊtʃ/,A way to do something or get close to something.,"For example, you can use a plan to solve a math problem."
scheme,n.计划，方案；阴谋v.谋划,5,Chapter 5 学校教育,/skiːm/,"A plan or idea to do something, usually in a clever way.","For example, a teacher might have a plan to help students learn better by using games in class."
headmaster,n.［英］男校长,5,Chapter 5 学校教育,/ˌhedˈmɑːstə(r)/,A person who is in charge of a school and makes important decisions.,"For example, the person who runs the school and helps teachers and students is called the headmaster."
principal,n.［美］(中小学)校长；［英］大学校长，学院院长adj.首要的,5,Chapter 5 学校教育,/ˈprɪnsəp(ə)l/,"The person who is in charge of a school, especially a high school or college.","For example, the person who makes important decisions at a school is called the principal."
dean,n.(大学的)学院院长，系主任,5,Chapter 5 学校教育,/diːn/,"A person who is in charge of a part of a school, like a college or a department.","For example, the person who helps manage the math department at a high school is called a dean."
faculty,n.(大学的)系，院；［美］(大学的)全体教员,5,Chapter 5 学校教育,/ˈfæk(ə)lti/,A group of teachers and professors who work at a school or university.,"For example, the science department has many teachers who help students learn about biology and chemistry."
professor,n.教授,5,Chapter 5 学校教育,/prəˈfesə(r)/,A person who teaches students at a university or college.,"For example, a person who explains science to students in a classroom is called a professor."
scholar,n.学者,5,Chapter 5 学校教育,/ˈskɒlə(r)/,A person who studies a subject carefully and knows a lot about it.,"For example, a teacher who writes books about history is a person who studies and knows a lot about the past."
scientist,n.科学家,5,Chapter 5 学校教育,/ˈsaɪəntɪst/,A person who studies science and tries to understand how the world works.,"For example, a person who tests chemicals in a lab to learn new things about nature."
mentor,n.导师；顾问,5,Chapter 5 学校教育,/ˈmentɔː(r)/,A person who gives advice and helps someone learn or improve in a job or subject.,"For example, a teacher might help a student with homework and teach them how to study better."
tutor,n.家庭教师；(英国大学或学院中的)导师,5,Chapter 5 学校教育,/ˈtjuːtə(r)/,A person who helps someone learn something by teaching them one-on-one.,"For example, a teacher might come to your home to help you study math every evening."
lecturer,n.［英］(大学的)讲师,5,Chapter 5 学校教育,/ˈlektʃərə(r)/,A person who teaches students at a university or college.,"For example, a person who gives classes on science to high school students is called a lecturer."
assistant,n.助手，助理,5,Chapter 5 学校教育,/əˈsɪstənt/,A person who helps someone else with their work or tasks.,"For example, a teacher might have an assistant who helps grade students' papers."
candidate,n.候选人；求职者；［英］考生,5,Chapter 5 学校教育,/ˈkændɪdət/,A person who is trying to get a job or be chosen for a position.,"For example, someone who applies for a job at a store is called a candidate."
degree,n.学位；学位课程；程度,5,Chapter 5 学校教育,/dɪˈɡriː/,A level of education you get after finishing a course at a university.,"For example, a bachelor's degree is a type of education you get after studying for about four years."
qualify,v. 使具备资格；使奋权,5,Chapter 5 学校教育,/ˈkwɒlɪfaɪ/,"To make someone able to do something or to be considered for a job, position, or activity.","For example, you need to pass a test to be allowed to play on the school soccer team."
certify,v.证明；颁发专业合格证书,5,Chapter 5 学校教育,/ˈsɜːtɪfaɪ/,"To say that something is true or correct, especially after checking it carefully.","For example, a teacher might check your work and then say you have passed the test."
license,(=licence) n.执照，许可证,5,Chapter 5 学校教育,/ˈlaɪs(ə)ns/,"A paper that lets you do something, like drive a car or run a business.","For example, you need a paper to drive a car in most countries."
permit,v. 允许，准许；n. 许可证,5,Chapter 5 学校教育,/pəˈmɪt/,To let someone do something they want to do. It can also be a piece of paper that lets you do something official.,"For example, your teacher might let you leave the classroom to go to the bathroom."
diploma,n.毕业文凭,5,Chapter 5 学校教育,/dɪˈpləʊmə/,A paper that shows someone has finished a school or university course.,"For example, after finishing high school, students get a certificate to show they graduated."
diplomat,n.外交官；善于交际的人,5,Chapter 5 学校教育,/ˈdɪpləmæt/,A person who works for a country to help build good relationships with other countries.,"For example, a person who talks to other countries to make agreements about trade or peace."
ambassador,n.大使,5,Chapter 5 学校教育,/æmˈbæsədə(r)/,A person who represents their country in another country to help with relationships and important talks.,"For example, a person from the United States might live in France to help the two countries work together."
pupil,n.小学生；瞳孔,5,Chapter 5 学校教育,/ˈpjuːp(ə)l/,A young student who goes to school and learns new things.,"For example, a five-year-old is a pupil in the first grade."
ceremony,n.典礼；礼节,5,Chapter 5 学校教育,/ˈserəməni/,A ceremony is a special event where people do something important or follow certain rules.,"For example, a graduation ceremony is when students get a certificate after finishing school."
bachelor,n.学士；单身汉,5,Chapter 5 学校教育,/ˈbætʃələ(r)/,A person who has finished a university degree but does not have a spouse.,"For example, someone who just graduated from college is called a bachelor."
master,n.硕士；大师v.精通；控制,5,Chapter 5 学校教育,/ˈmɑːstə(r)/,A person who has a high level of skill in a subject or field.,"For example, a person who has studied a subject for many years and knows a lot about it is called a master."
doctor,n.博士；医生,5,Chapter 5 学校教育,/ˈdɒktə(r)/,"A person who has studied a lot and has a special degree, or a person who treats sick people.","For example, a person who wears a white coat and checks if you are healthy is a doctor."
fresher,n.［英］(大学)一年级新生,5,Chapter 5 学校教育,/ˈfreʃə(r)/,A person who has just started going to a university or college for the first time.,"For example, a student who is in their first year at university is called a fresher."
sophomore,n.［美］(大学或高中)二年级学生,5,Chapter 5 学校教育,/ˈsɒfəmɔː(r)/,A student who is in the second year of high school or college.,"For example, a student who has finished their first year of high school and is now in their second year is called a sophomore."
junior,n.［美］(大学或高中)三年级学生；较年幼者adj.成人的；级别(或地位)较低的,5,Chapter 5 学校教育,/ˈdʒuːniə(r)/,"A person who is younger than someone else, or someone who has a lower position in a job or school.","For example, a student in the third year of high school is called a junior."
senior,n.［美］(大学或高中)毕业班学生；较年长者adj.成人的；级别(或地位)高的,5,Chapter 5 学校教育,/ˈsiːniə(r)/,"A person who is older or has more experience, or a student in the last year of school","For example, a teacher might talk to a student who is in their final year of high school."
alumni,n. ［alumnus的复数形式］毕业生，校友,5,Chapter 5 学校教育,/əˈlʌmnaɪ/,People who have finished school or university and are no longer students.,"For example, the football team is made up of players who graduated from the same school."
orientation,n.(学前、岗前等的)情况介绍，迎新会；方向,5,Chapter 5 学校教育,/ˌɔːriənˈteɪʃ(ə)n/,"It is a meeting or activity where new people learn about a school, job, or group before they start.","For example, when you start a new school, you might go to an orientation to meet your teachers and learn about the rules."
platform,n.平台；讲台,5,Chapter 5 学校教育,/ˈplætfɔːm/,A platform is a flat surface where people stand or something is placed.,"For example, a speaker stands on a platform to talk to a group of people."
coed,(=co-educational) adj.男女同校的n.(男女同校的大学中的)女生,5,Chapter 5 学校教育,/ˌkəʊˈed/,This word describes a school where boys and girls go to classes together.,"For example, many high schools are this type of school where students of both genders learn in the same classrooms."
register,v.登记，注册n.登记表，注册簿,5,Chapter 5 学校教育,/ˈredʒɪstə(r)/,To put your name or information in a list so that you can be part of something.,"For example, when you want to join a club, you fill out a form to put your name in their list."
roster,n.花名册，登记表；执勤表,5,Chapter 5 学校教育,/ˈrɒstə(r)/,"A list of people's names, usually for a group or team.","For example, a teacher might have a list of students' names to check who is present in class."
enrol, v.登记；注册(课程)；(使)加入 (=enroll),5,Chapter 5 学校教育,/ɪnˈrəʊl/,To sign up for a class or join a group.,"For example, you can sign up for a math class at the start of the school year."
matriculation,n.注册入大学,5,Chapter 5 学校教育,/məˌtrɪkjuˈleɪʃn/,It is the process of joining a university or college and officially becoming a student.,"For example, when you finish high school and start going to university, you go through the process of registering and getting your name on the list of students."
bibliography,n. 参考书目,5,Chapter 5 学校教育,/ˌbɪblɪˈɒɡrəfɪ/,"A list of books, articles, or other sources that someone used when writing a report or essay.","For example, if you write a school project about animals, you might include a list of the books you read at the end."
content,n. 内容；目录；含量 adj. 满足的,5,Chapter 5 学校教育,/ˈkɒntent; kənˈtent/,"Something that is inside something else, like the information in a book or the stuff in a container. It can also mean feeling happy and satisfied.","For example, the content of a story is the events and characters that happen in it."
object,n. 物体；目标 v.反对,5,Chapter 5 学校教育,/ˈɒbdʒɪkt; əbˈdʒekt/,"A thing that you can see or touch, or a person or thing that someone wants to achieve.","For example, a ball is an object, and if you want to win a game, the goal is your object."
accommodation,n.住处；食宿招待,5,Chapter 5 学校教育,/əˌkɒməˈdeɪʃ(ə)n/,"It is a place where someone stays when they are away from home, like a hotel or a house.","For example, when you go on vacation, you stay in a hotel for accommodation."
dorm,n.宿舍,5,Chapter 5 学校教育,/dɔːm/,A place where students live while they go to school.,"For example, many high school students stay in a building called a dorm during the week."
canteen,n.水壶；［英］食堂,5,Chapter 5 学校教育,/kænˈtiːn/,"A place where people eat meals, especially in a school or office.","For example, students go to the dining area to have lunch during their break."
laboratory,(=lab) n.实验室，研究室,5,Chapter 5 学校教育,/ləˈbɒrətri/,A place where scientists or students do experiments or study things carefully.,"For example, students go to a room with special equipment to learn about science."
experiment,n.实验；试验,5,Chapter 5 学校教育,/ɪkˈsperɪmənt/,An activity where you test something to see what happens or if it works.,"For example, you might try different plants to see which one grows the fastest."
data,n. ［datum的复数形式］数据,5,Chapter 5 学校教育,/ˈdeɪtə; ˈdɑːtə/,Information that is collected and used to answer questions or solve problems.,"For example, the numbers you see on a weather app are information that helps you know what to wear."
quantity,n.数量,5,Chapter 5 学校教育,/ˈkwɒntətɪ/,It is how much of something there is.,"For example, if you have five apples, the number of apples is the amount you have."
quality,n.质量,5,Chapter 5 学校教育,/ˈkwɒlətɪ/,Something that shows how good or bad something is.,"For example, a toy that doesn't break easily has good quality."
library,n.图书馆；(书、唱片等)个人收藏,5,Chapter 5 学校教育,/ˈlaɪbrərɪ/,"A place where people can read, borrow, or store books, magazines, and other materials.","For example, students go to the school building to get books for their homework."
literature,n.文学；文学作品；文献,5,Chapter 5 学校教育,/ˈlɪtrətʃə(r); ˈlɪtərətʃə/,"Literature is the writing of a country or time, especially books, poems, and stories that are considered important or very good.","For example, the works of Shakespeare are considered important literature in English history."
article,n.文章,5,Chapter 5 学校教育,/ˈɑːtɪk(ə)l/,A piece of writing that tells information or shares ideas about a topic.,"For example, a short story in a magazine is an article."
author,n.作者，作家,5,Chapter 5 学校教育,/ˈɔːθə(r)/,"A person who writes a book, article, or other written work.","For example, the person who wrote the story ""Charlotte's Web"" is called the author."
tale,n.故事，传说,5,Chapter 5 学校教育,/teɪl/,A story that is usually about something interesting or imaginary.,"For example, ""The Little Mermaid"" is a famous story about a girl who lives under the sea."
fiction,n.小说；虚构，杜撰,5,Chapter 5 学校教育,/ˈfɪkʃ(ə)n/,A story that is made up and not true.,"For example, *Harry Potter* is a story that was created by a writer, not something that really happened."
story,n.故事，小说；(尤指口头的)叙述,5,Chapter 5 学校教育,/ˈstɔːri/,"A story is a written or spoken account of something that happened, usually with characters and a plot.","For example, a book about a boy who goes on an adventure is a story."
diary,n.日记，日记簿,5,Chapter 5 学校教育,/ˈdaɪəri/,A book where you write about your daily activities and feelings.,"For example, many students keep a book where they write what they did each day and how they felt."
poetry,n.诗，诗歌，诗作,5,Chapter 5 学校教育,/ˈpəʊətri/,It is a type of writing that uses beautiful words to express feelings or ideas.,"For example, a short song with rhyme and rhythm that makes people feel happy or sad."
magazine,n.杂志，期刊,5,Chapter 5 学校教育,/ˌmæɡəˈziːn/,"A magazine is a book with pictures and articles about different topics, like sports, fashion, or technology.","For example, a sports magazine has stories and photos about famous athletes and games."
journal,n.日报，周报；(尤指专门学科的)杂志；日志,5,Chapter 5 学校教育,/ˈdʒɜːn(ə)l/,A book or paper where someone writes about things that happen each day or a publication with news and articles.,"For example, a person might write in a small notebook every night to remember what they did during the day."
coverage,n.新闻报道；覆盖范围,5,Chapter 5 学校教育,/ˈkʌvərɪdʒ/,It is the amount of information that a newspaper or TV shows about a news story.,"For example, a newspaper might give a lot of attention to a big event like a sports game."
encyclopedia,(=encyclopaedia) n.百科全书,5,Chapter 5 学校教育,/ɪnˌsaɪkləˈpiːdiə/,"A book or online resource that has information about many different topics, usually in alphabetical order.","For example, if you want to learn about animals, plants, and history, you can look in a book that has all that information together."
biography,n.传记,5,Chapter 5 学校教育,/baɪˈɒɡrəfi/,"A book or story that tells about someone's life, especially a famous person.","For example, a book about the life of a famous actor or scientist."
documentary,n.纪录片adj.纪录的,5,Chapter 5 学校教育,/ˌdɒkjuˈment(ə)ri/,A type of movie or video that shows real events or information about something.,"For example, a film about animals in the wild that shows how they live and behave."
series,n.连续；一系列；系列节目,5,Chapter 5 学校教育,/ˈsɪəriːz/,A group of things that happen one after another or are connected in some way.,"For example, a set of books that follow the same story is called a series."
record,n.记录；履历,5,Chapter 5 学校教育,/ˈrekɔːd; rɪˈkɔːd/,A record is a list of things that have happened or information about someone's past.,"For example, a student's record has information about their grades and behavior in school."
file,n.档案v.把……归档,5,Chapter 5 学校教育,/faɪl/,A list of papers or information that is kept together for a special purpose.,"For example, a teacher might keep a record of students' grades in a file."
profile,n.概述；人物简介；侧面轮廓,5,Chapter 5 学校教育,/ˈprəʊfaɪl/,A short description of someone's life or a picture of the side of something.,"For example, a website might show a person's name, photo, and some information about them."
draft,n.草稿；汇票v.起草,5,Chapter 5 学校教育,/drɑːft/,"A draft is a first version of a written document, like a letter or story, before it is finished.","For example, you might write a draft of your homework before you check it for mistakes."
sketch,n.概略v.概述,5,Chapter 5 学校教育,/sketʃ/,A sketch is a quick drawing or plan that shows the main ideas of something.,"For example, a painter might make a sketch of a person before painting the final picture."
brochure,n.小册子,5,Chapter 5 学校教育,/ˈbrəʊʃə(r)/,"A small book with information about a place, product, or event.","For example, a hotel might give you a small book with pictures and details about their rooms and services."
manual,n.使用手册，指南adj.手工的,5,Chapter 5 学校教育,/ˈmænjuəl/,A manual is a book or document that tells you how to use something or how to do a task.,"For example, a computer comes with a manual that explains how to set it up and use its features."
frame,n.(画、镜子等的)框架；眼镜框；构架,5,Chapter 5 学校教育,/freɪm/,"It is the border or structure that holds something like a picture, mirror, or glasses.","For example, the metal around the glass of your sunglasses is the frame."
index,n.指数；指标；索引v.为……编索引,5,Chapter 5 学校教育,/ˈɪndeks/,"An index is a list that shows where information can be found, or a number that shows how something is changing.","For example, a book might have an index at the back to help you find topics quickly."
catalogue,(=catalog) n.目录,5,Chapter 5 学校教育,/ˈkætəlɒɡ/,"A list of items, usually showing what is available in a store or library.","For example, a shop might have a list of all the toys they sell."
category,n.种类，类别，范畴,5,Chapter 5 学校教育,/ˈkætəɡəri/,A category is a group of things that are alike in some way. It helps us organize and sort different items.,"For example, fruits like apples, bananas, and oranges all belong to the same category."
inventory,n.库存；详细目录,5,Chapter 5 学校教育,/ˈɪnvəntri/,It is a list of things that a store or company has available to sell.,"For example, a toy store keeps track of all the toys they have in their back room."
context,n.上下文，语境；背最，来龙去脉,5,Chapter 5 学校教育,/ˈkɒntekst/,The information around a word or sentence that helps you understand what it means.,"For example, the word ""bank"" can mean a place where people save money or the side of a river, and the words around it help you know which one is correct."
list,n. 一览表，目录v.列举；把……列表,5,Chapter 5 学校教育,/lɪst/,A list is a group of things written down in order.,"For example, you can make a list of your favorite foods to remember them."
chapter,n.(书等的)章；(人生或历史的)重要时期,5,Chapter 5 学校教育,/ˈtʃæptə(r)/,A chapter is a part of a book that tells a story or explains a topic. It is also used to describe a big or important time in someone's life or history.,"For example, a book about animals might have a chapter about dolphins."
volume,"n.(书)卷；体积,容积；音量",5,Chapter 5 学校教育,/ˈvɒljuːm/,It is a measure of how much space something takes up or how loud a sound is.,"For example, a big box has a larger volume than a small box."
reel,v. 眩晕，混乱,5,Chapter 5 学校教育,/riːl/,"To feel dizzy or confused, like your head is spinning.","For example, when you spin around too much, you might feel dizzy and have trouble standing straight."
subject,n.科目；主题；实验对象,5,Chapter 5 学校教育,/ˈsʌbdʒɪkt/,It is a topic that you learn about in school or the main idea of something.,"For example, math and science are subjects in school."
major,n.［美］主修科目，专业v.［美］主修adj.主要的,5,Chapter 5 学校教育,/ˈmeɪdʒə(r)/,Something that is the most important or the main thing. It can also mean a subject that a student studies in school.,"For example, many students choose to study math or history as their main subject in college."
minor,n.［美］辅修科目adj.不严重的,5,Chapter 5 学校教育,/ˈmaɪnə(r)/,Something that is not very big or important.,"For example, a small cut on your finger is a minor injury."
